minutes,io_openeuler-home,io_openeuler-root,io_openeuler-swap,io_sda,io_source,io_Minutes,io_openeuler-home,io_openeuler-root,io_openeuler-swap,io_sda,io_source,io_Minutes
11.5,70,1932,1,4419,CPU_STRESS,11.5,1076830,4720225,1222,5874092,CPU_STRESS,11.5
11.75,70,1932,1,4419,CPU_STRESS,11.75,797046,4680947,1222,5865228,CPU_STRESS,11.75
12.0,70,1932,1,4419,CPU_STRESS,12.0,758674,4731691,1222,5865228,CPU_STRESS,12.0
12.25,70,1932,1,4419,CPU_STRESS,12.25,799953,4742999,1222,5877428,CPU_STRESS,12.25
12.5,70,1932,1,4419,CPU_STRESS,12.5,827506,5052491,1222,5885492,CPU_STRESS,12.5
12.75,70,1932,1,4419,CPU_STRESS,12.75,967308,5056737,1222,5880441,CPU_STRESS,12.75
13.0,70,1932,1,4419,CPU_STRESS,13.0,1007184,4940495,1222,5880441,CPU_STRESS,13.0
13.25,70,1932,1,4419,CPU_STRESS,13.25,1139762,4940495,1222,5905087,CPU_STRESS,13.25
13.5,70,1932,1,4419,CPU_STRESS,13.5,1152782,4784125,1222,5907109,CPU_STRESS,13.5
13.75,70,1932,1,4419,CPU_STRESS,13.75,1519705,4737981,1222,5898152,CPU_STRESS,13.75
14.0,70,1932,1,4419,CPU_STRESS,14.0,1542852,4761159,1222,5900032,CPU_STRESS,14.0
14.25,70,1932,1,4419,CPU_STRESS,14.25,1349053,4761012,1222,6185068,CPU_STRESS,14.25
14.5,70,1932,1,4419,CPU_STRESS,14.5,1325541,5021371,1222,6159836,CPU_STRESS,14.5
14.75,70,1932,1,4419,CPU_STRESS,14.75,1118158,5045340,1222,6083226,CPU_STRESS,14.75
15.0,70,1932,1,4419,CPU_STRESS,15.0,1111148,4959223,1222,6084352,CPU_STRESS,15.0
15.25,70,1932,1,4419,CPU_STRESS,15.25,1029344,4953222,1222,6070053,CPU_STRESS,15.25
15.5,70,1932,1,4419,CPU_STRESS,15.5,1023095,4875459,1222,5875627,CPU_STRESS,15.5
15.75,70,1932,1,4419,CPU_STRESS,15.75,934090,4894762,1222,5883363,CPU_STRESS,15.75
16.0,70,1932,1,4460,CPU_STRESS,16.0,949962,4827643,1222,5856493,CPU_STRESS,16.0
16.25,70,1932,1,4501,CPU_STRESS,16.25,971013,4827643,1222,5856493,CPU_STRESS,16.25
16.5,70,1932,1,4706,CPU_STRESS,16.5,976392,4804230,1222,5830575,CPU_STRESS,16.5
16.75,248,1932,1,4745,CPU_STRESS,16.75,986085,4788544,1222,5811433,CPU_STRESS,16.75
17.0,2870,1932,1,5016,CPU_STRESS,17.0,1182921,4779874,1222,5818645,CPU_STRESS,17.0
17.25,3011,1932,1,4892,CPU_STRESS,17.25,1193073,4781887,1222,5824028,CPU_STRESS,17.25
17.5,2248,1932,1,4326,CPU_STRESS,17.5,1141194,4854569,1222,5964301,CPU_STRESS,17.5
17.75,1675,1932,1,4246,CPU_STRESS,17.75,1139562,4846502,1222,5988711,CPU_STRESS,17.75
18.0,962,1932,1,4417,CPU_STRESS,18.0,1036992,4671927,1222,5861952,CPU_STRESS,18.0
18.25,868,1932,1,4417,CPU_STRESS,18.25,1020432,4649597,1222,5838578,CPU_STRESS,18.25
18.5,53,1932,1,4417,CPU_STRESS,18.5,954275,3814105,1222,5287287,CPU_STRESS,18.5
18.75,53,1932,1,4417,CPU_STRESS,18.75,936351,3782510,1222,5163601,CPU_STRESS,18.75
19.0,53,1932,1,4417,CPU_STRESS,19.0,768869,3798082,1222,5038972,CPU_STRESS,19.0
19.25,53,1932,1,4417,CPU_STRESS,19.25,767168,3796706,1222,5030587,CPU_STRESS,19.25
19.5,53,1932,1,4417,CPU_STRESS,19.5,876993,3801539,1222,4563538,CPU_STRESS,19.5
19.75,53,1932,1,4417,CPU_STRESS,19.75,881216,3933766,1222,4579745,CPU_STRESS,19.75
20.0,53,1932,1,4417,CPU_STRESS,20.0,1147635,4227054,1222,4864968,CPU_STRESS,20.0
20.25,53,1932,1,4417,CPU_STRESS,20.25,1146766,4258818,1222,4918397,CPU_STRESS,20.25
20.5,53,1932,1,4417,CPU_STRESS,20.5,1070905,5350379,1222,6197337,CPU_STRESS,20.5
20.75,53,1932,1,4417,CPU_STRESS,20.75,1063269,5543613,1222,6295972,CPU_STRESS,20.75
21.0,53,1932,1,4417,CPU_STRESS,21.0,978528,5323313,1222,6056649,CPU_STRESS,21.0
21.25,53,1932,1,4417,CPU_STRESS,21.25,972326,5309780,1222,5994019,CPU_STRESS,21.25
21.5,53,1932,1,4417,CPU_STRESS,21.5,954420,5252127,1222,5488045,CPU_STRESS,21.5
21.75,53,1932,1,4417,CPU_STRESS,21.75,945394,4567404,1222,5472027,CPU_STRESS,21.75
22.0,53,1932,1,4417,CPU_STRESS,22.0,852478,4500610,1222,5497699,CPU_STRESS,22.0
22.25,53,1932,1,4417,CPU_STRESS,22.25,869484,4482018,1222,5510224,CPU_STRESS,22.25
22.5,53,1932,1,4417,CPU_STRESS,22.5,955630,4495812,1222,5837550,CPU_STRESS,22.5
22.75,53,1932,1,4417,CPU_STRESS,22.75,987998,4654951,1222,5840843,CPU_STRESS,22.75
23.0,53,1932,1,4417,CPU_STRESS,23.0,1022914,4624370,1222,5669779,CPU_STRESS,23.0
23.25,53,1932,1,4417,CPU_STRESS,23.25,1408068,4491043,1222,5580892,CPU_STRESS,23.25
23.5,53,1932,1,4417,CPU_STRESS,23.5,1441501,4448422,1222,4682618,CPU_STRESS,23.5
23.75,53,1932,1,4417,CPU_STRESS,23.75,1242333,3556588,1222,4634728,CPU_STRESS,23.75
24.0,53,1932,1,4417,CPU_STRESS,24.0,1206345,3493065,1222,4765302,CPU_STRESS,24.0
24.25,53,1932,1,4417,CPU_STRESS,24.25,1010757,3611339,1222,4759060,CPU_STRESS,24.25
24.5,53,1932,1,4417,CPU_STRESS,24.5,1007366,3613140,1222,5197539,CPU_STRESS,24.5
24.75,53,1932,1,4417,CPU_STRESS,24.75,970350,4235064,1222,5217072,CPU_STRESS,24.75
25.0,53,1932,1,4417,CPU_STRESS,25.0,973700,4286175,1222,5302967,CPU_STRESS,25.0
25.25,53,1932,1,4417,CPU_STRESS,25.25,1055867,4444581,1222,5313805,CPU_STRESS,25.25
25.5,53,1932,1,4417,CPU_STRESS,25.5,1037774,4450110,1222,5311777,CPU_STRESS,25.5
25.75,53,1932,1,4417,CPU_STRESS,25.75,1015199,4568883,1222,5438226,CPU_STRESS,25.75
26.0,53,1932,1,4417,CPU_STRESS,26.0,1014235,4637004,1222,5471171,CPU_STRESS,26.0
26.25,53,1932,1,4417,CPU_STRESS,26.25,991111,4685590,1222,5575935,CPU_STRESS,26.25
26.5,53,1932,1,4417,CPU_STRESS,26.5,1000218,4710773,1222,5597630,CPU_STRESS,26.5
26.75,53,1932,1,4417,CPU_STRESS,26.75,1038330,5201519,1222,6706803,CPU_STRESS,26.75
27.0,53,1932,1,4417,CPU_STRESS,27.0,1068840,5291328,1222,6709844,CPU_STRESS,27.0
27.25,53,1932,1,4417,CPU_STRESS,27.25,1185781,5036919,1222,6240593,CPU_STRESS,27.25
27.5,53,1932,1,4417,CPU_STRESS,27.5,1182475,5006592,1222,6224577,CPU_STRESS,27.5
27.75,53,1932,1,4417,CPU_STRESS,27.75,1106797,4655492,1222,5810969,CPU_STRESS,27.75
28.0,53,1932,1,4417,CPU_STRESS,28.0,1105681,4598942,1222,5745364,CPU_STRESS,28.0
28.25,53,1932,1,4417,CPU_STRESS,28.25,1091444,4568977,1222,5583494,CPU_STRESS,28.25
28.5,53,1932,1,4417,CPU_STRESS,28.5,1016936,4568977,1222,5578308,CPU_STRESS,28.5
28.75,53,1932,1,4417,CPU_STRESS,28.75,1020001,4622861,1222,5457933,CPU_STRESS,28.75
29.0,53,1932,1,4417,CPU_STRESS,29.0,1070661,4630897,1222,5429707,CPU_STRESS,29.0
29.25,53,1932,1,4417,CPU_STRESS,29.25,1069603,4626742,1222,5405810,CPU_STRESS,29.25
29.5,53,1932,1,4417,CPU_STRESS,29.5,1187317,4611867,1222,5394796,CPU_STRESS,29.5
29.75,53,1932,1,4417,CPU_STRESS,29.75,1172055,4179291,1222,5071683,CPU_STRESS,29.75
30.0,53,1932,1,4417,CPU_STRESS,30.0,1038607,4108328,1222,5014118,CPU_STRESS,30.0
30.25,53,1932,1,4417,CPU_STRESS,30.25,1026821,4085723,1222,4942199,CPU_STRESS,30.25
30.5,53,1932,1,4417,CPU_STRESS,30.5,765136,4085723,1222,4938758,CPU_STRESS,30.5
30.75,53,1932,1,4417,CPU_STRESS,30.75,749363,4378294,1222,4984198,CPU_STRESS,30.75
31.0,53,1932,1,4417,CPU_STRESS,31.0,865030,4424791,1222,5078556,CPU_STRESS,31.0
31.25,53,1932,1,4417,CPU_STRESS,31.25,877789,4427800,1222,5199750,CPU_STRESS,31.25
31.5,53,1932,1,4417,CPU_STRESS,31.5,1090126,4430258,1222,5213807,CPU_STRESS,31.5
31.75,53,1932,1,4417,CPU_STRESS,31.75,1120982,4430258,1222,5788529,CPU_STRESS,31.75
32.0,53,1932,1,4417,CPU_STRESS,32.0,1057225,4430148,1222,5818460,CPU_STRESS,32.0
32.25,53,1932,1,4417,CPU_STRESS,32.25,1058249,4428704,1222,5730802,CPU_STRESS,32.25
32.5,53,1932,1,4417,CPU_STRESS,32.5,1031114,4411310,1222,5700459,CPU_STRESS,32.5
32.75,53,1932,1,4417,CPU_STRESS,32.75,990265,4417995,1222,5332627,CPU_STRESS,32.75
33.0,53,1932,1,4417,CPU_STRESS,33.0,981285,4242604,1222,5231166,CPU_STRESS,33.0
33.25,53,1932,1,4417,CPU_STRESS,33.25,935254,4199062,1222,5182029,CPU_STRESS,33.25
33.5,53,1932,1,4417,CPU_STRESS,33.5,922043,4115537,1222,5177377,CPU_STRESS,33.5
33.75,53,1932,1,4417,CPU_STRESS,33.75,845562,4056449,1222,4723349,CPU_STRESS,33.75
34.0,53,1932,1,4417,CPU_STRESS,34.0,844361,3858178,1222,4682388,CPU_STRESS,34.0
34.25,53,1932,1,4417,CPU_STRESS,34.25,881342,3786841,1222,4671801,CPU_STRESS,34.25
34.5,53,1932,1,4417,CPU_STRESS,34.5,889451,3776550,6940,4681367,CPU_STRESS,34.5
34.75,53,1932,1,4417,CPU_STRESS,34.75,1011225,3767229,1234,4656589,CPU_STRESS,34.75
35.0,53,1932,1,4417,CPU_STRESS,35.0,1001030,3392907,1234,4548980,CPU_STRESS,35.0
35.25,53,1932,1,4417,CPU_STRESS,35.25,941844,3383499,1234,4516613,CPU_STRESS,35.25
35.5,53,1932,1,4417,CPU_STRESS,35.5,915515,3479833,1234,4498575,CPU_STRESS,35.5
35.75,53,1932,1,4417,CPU_STRESS,35.75,751223,3488653,1234,4494594,CPU_STRESS,35.75
36.0,53,1932,1,4417,CPU_STRESS,36.0,728103,3897861,1234,4478921,CPU_STRESS,36.0
36.25,53,1932,1,4417,CPU_STRESS,36.25,743420,3926736,1234,4484478,CPU_STRESS,36.25
36.5,53,1932,1,4417,CPU_STRESS,36.5,742814,3961931,1234,4489643,CPU_STRESS,36.5
36.75,53,1932,1,4417,CPU_STRESS,36.75,728297,3962571,1234,4489643,CPU_STRESS,36.75
37.0,53,1932,1,4417,CPU_STRESS,37.0,736229,4057541,1234,4638217,CPU_STRESS,37.0
37.25,53,1932,1,4417,CPU_STRESS,37.25,773732,4063573,1234,4701732,CPU_STRESS,37.25
37.5,53,1932,1,4417,CPU_STRESS,37.5,778715,4089995,1234,4726110,CPU_STRESS,37.5
37.75,53,1932,1,4417,CPU_STRESS,37.75,786691,4089995,1234,4726110,CPU_STRESS,37.75
38.0,53,1932,1,4417,CPU_STRESS,38.0,960689,4002133,1234,4938166,CPU_STRESS,38.0
38.25,53,1932,1,4417,CPU_STRESS,38.25,987552,3994064,1234,5011031,CPU_STRESS,38.25
38.5,53,1932,1,4417,CPU_STRESS,38.5,906627,3962946,1234,4901971,CPU_STRESS,38.5
38.75,53,1932,1,4417,CPU_STRESS,38.75,891445,3969540,1234,4880266,CPU_STRESS,38.75
39.0,53,1932,1,4417,CPU_STRESS,39.0,675698,3946859,1234,4532770,CPU_STRESS,39.0
39.25,53,1932,1,4584,CPU_STRESS,39.25,640237,3909883,1234,4452794,CPU_STRESS,39.25
39.5,53,1932,1,4584,CPU_STRESS,39.5,647810,3868843,1234,4390594,CPU_STRESS,39.5
39.75,53,1932,1,4584,CPU_STRESS,39.75,648459,3863216,1234,4390594,CPU_STRESS,39.75
40.0,53,1932,1,4584,CPU_STRESS,40.0,700094,3852408,1234,3663035,CPU_STRESS,40.0
40.25,53,1932,1,4584,CPU_STRESS,40.25,719370,3260854,1234,3575050,CPU_STRESS,40.25
40.5,53,2200,1,4584,CPU_STRESS,40.5,749091,3232232,1234,3805736,CPU_STRESS,40.5
40.75,53,2200,1,4584,CPU_STRESS,40.75,749925,3358782,1234,3838707,CPU_STRESS,40.75
41.0,53,2200,1,4584,CPU_STRESS,41.0,775161,3362428,1234,4689685,CPU_STRESS,41.0
41.25,53,2200,1,4584,CPU_STRESS,41.25,777320,3509001,1234,4713543,CPU_STRESS,41.25
41.5,53,2200,1,4584,CPU_STRESS,41.5,755797,3530012,1234,4681714,CPU_STRESS,41.5
41.75,53,2200,1,4584,CPU_STRESS,41.75,755797,3638264,1234,4681714,CPU_STRESS,41.75
42.0,53,2200,1,4584,CPU_STRESS,42.0,748892,3642200,1234,4673664,CPU_STRESS,42.0
42.25,53,2200,1,4584,CPU_STRESS,42.25,751103,3965812,1234,4542929,CPU_STRESS,42.25
42.5,53,2201,1,4584,CPU_STRESS,42.5,787118,3979960,1234,4502006,CPU_STRESS,42.5
42.75,53,2201,1,4584,CPU_STRESS,42.75,792402,3956271,1234,4493286,CPU_STRESS,42.75
43.0,53,2201,1,4584,CPU_STRESS,43.0,931999,3947967,1234,4503818,CPU_STRESS,43.0
43.25,53,2201,1,4584,CPU_STRESS,43.25,937418,3536909,1234,4512092,CPU_STRESS,43.25
43.5,53,2201,1,4584,CPU_STRESS,43.5,900644,3484264,1234,4518881,CPU_STRESS,43.5
43.75,53,2201,1,4584,CPU_STRESS,43.75,894822,3480752,1234,4518881,CPU_STRESS,43.75
44.0,53,2201,1,4584,CPU_STRESS,44.0,811472,3487203,1234,4409477,CPU_STRESS,44.0
44.25,53,2201,1,4584,CPU_STRESS,44.25,797626,3487203,1234,4364219,CPU_STRESS,44.25
44.5,53,2201,1,4584,CPU_STRESS,44.5,760259,3487203,1234,4339798,CPU_STRESS,44.5
44.75,53,2201,1,4584,CPU_STRESS,44.75,752522,3487203,1234,4338581,CPU_STRESS,44.75
45.0,53,2201,1,4584,CPU_STRESS,45.0,675921,3540338,1234,4057380,CPU_STRESS,45.0
45.25,53,2201,1,4584,CPU_STRESS,45.25,673680,3118714,1234,4019797,CPU_STRESS,45.25
45.5,53,2201,1,4584,CPU_STRESS,45.5,673829,3063247,1234,4143032,CPU_STRESS,45.5
45.75,53,2201,1,4584,CPU_STRESS,45.75,669041,3347780,1234,4164950,CPU_STRESS,45.75
46.0,53,2201,1,4584,CPU_STRESS,46.0,651921,3360703,1234,4396271,CPU_STRESS,46.0
46.25,53,2201,1,4584,CPU_STRESS,46.25,652818,3973931,1234,4493407,CPU_STRESS,46.25
46.5,53,2201,1,4584,CPU_STRESS,46.5,646809,4018906,1234,4500636,CPU_STRESS,46.5
46.75,53,2201,1,4584,CPU_STRESS,46.75,647141,4039395,1234,4500636,CPU_STRESS,46.75
47.0,53,2201,1,4584,CPU_STRESS,47.0,665121,4039395,1234,4500636,CPU_STRESS,47.0
47.25,53,2201,1,4584,CPU_STRESS,47.25,676527,3824257,1234,4690037,CPU_STRESS,47.25
47.5,53,2201,1,4584,CPU_STRESS,47.5,672639,3784182,1234,4700125,CPU_STRESS,47.5
47.75,53,2201,1,4584,CPU_STRESS,47.75,668486,3812630,1234,4688330,CPU_STRESS,47.75
48.0,53,2201,1,4584,CPU_STRESS,48.0,640498,3813119,1234,4686404,CPU_STRESS,48.0
48.25,53,2201,1,4584,CPU_STRESS,48.25,634675,4145492,1234,4602176,CPU_STRESS,48.25
48.5,53,2201,1,4584,CPU_STRESS,48.5,625302,4238708,1234,4552209,CPU_STRESS,48.5
48.75,53,2201,1,4584,CPU_STRESS,48.75,623228,4126449,1234,4523894,CPU_STRESS,48.75
49.0,53,2201,1,4584,CPU_STRESS,49.0,620172,4118766,1234,4523894,CPU_STRESS,49.0
49.25,53,2201,1,4584,CPU_STRESS,49.25,598209,3801591,1234,4448508,CPU_STRESS,49.25
49.5,53,2201,1,4584,CPU_STRESS,49.5,596295,3782252,1234,4443901,CPU_STRESS,49.5
49.75,53,76110,1,4584,CPU_STRESS,49.75,606185,3794360,1234,4444555,CPU_STRESS,49.75
50.0,53,5054,1,4584,CPU_STRESS,50.0,606553,3799449,1234,4444555,CPU_STRESS,50.0
50.25,53,5054,1,5443,CPU_STRESS,50.25,606775,3799449,1234,4712171,CPU_STRESS,50.25
50.5,53,5054,1,5443,CPU_STRESS,50.5,620720,4067767,1234,4753440,CPU_STRESS,50.5
50.75,53,5054,1,5443,CPU_STRESS,50.75,625921,4112393,1234,4723320,CPU_STRESS,50.75
51.0,53,5054,1,5443,CPU_STRESS,51.0,623530,4078362,1234,4723047,CPU_STRESS,51.0
51.25,53,5054,1,5443,CPU_STRESS,51.25,619484,4070847,1234,4407438,CPU_STRESS,51.25
51.5,53,5054,1,5443,CPU_STRESS,51.5,578406,3842483,1234,4368309,CPU_STRESS,51.5
51.75,53,5054,1,5443,CPU_STRESS,51.75,576652,3801418,1234,4357245,CPU_STRESS,51.75
52.0,53,5054,1,5443,CPU_STRESS,52.0,632720,3810573,1234,4358253,CPU_STRESS,52.0
52.25,53,5054,1,5443,CPU_STRESS,52.25,634086,3810573,1234,4754492,CPU_STRESS,52.25
52.5,53,5470,1,5443,CPU_STRESS,52.5,815623,4032326,1234,4820954,CPU_STRESS,52.5
52.75,53,6197,1,5443,CPU_STRESS,52.75,829764,4035929,1234,4783743,CPU_STRESS,52.75
53.0,53,6197,1,5443,CPU_STRESS,53.0,810494,4048400,1234,4782515,CPU_STRESS,53.0
53.25,53,6197,1,6507,CPU_STRESS,53.25,809862,4047302,1234,4780091,CPU_STRESS,53.25
53.5,53,6551,1,74947,CPU_STRESS,53.5,783123,4032720,1234,4535929,CPU_STRESS,53.5
53.75,53,6556,1,84233,CPU_STRESS,53.75,776106,4032720,1234,4494226,CPU_STRESS,53.75
54.0,53,8709,1,73638,CPU_STRESS,54.0,741201,4032347,1234,4486497,CPU_STRESS,54.0
54.25,53,28963,1,26882,CPU_STRESS,54.25,731574,3873910,1234,4609977,CPU_STRESS,54.25
54.5,53,31302,1,12786,CPU_STRESS,54.5,605782,3834300,1234,4664908,CPU_STRESS,54.5
54.75,53,26339,1,5417,CPU_STRESS,54.75,601996,3819552,1234,4657337,CPU_STRESS,54.75
55.0,53,23333,1,5417,CPU_STRESS,55.0,603453,3818777,1234,4657337,CPU_STRESS,55.0
55.25,53,15709,1,5417,CPU_STRESS,55.25,603159,3806196,1234,4423701,CPU_STRESS,55.25
55.5,53,12250,1,5417,CPU_STRESS,55.5,603664,3773680,1234,4378321,CPU_STRESS,55.5
55.75,53,5989,1,5417,CPU_STRESS,55.75,610713,3751484,1234,4353292,CPU_STRESS,55.75
56.0,53,5989,1,5417,CPU_STRESS,56.0,616896,3753863,1234,4353292,CPU_STRESS,56.0
56.25,53,5989,1,5417,CPU_STRESS,56.25,624111,3759584,1234,4353292,CPU_STRESS,56.25
56.5,53,5989,1,5417,CPU_STRESS,56.5,746353,3733494,1234,4469968,CPU_STRESS,56.5
56.75,53,5989,1,5417,CPU_STRESS,56.75,757810,3710052,1271,4524774,CPU_STRESS,56.75
57.0,53,5989,1,5417,CPU_STRESS,57.0,758902,3716320,1275,4526768,CPU_STRESS,57.0
57.25,53,5989,1,5417,CPU_STRESS,57.25,749932,3717516,1275,4526768,CPU_STRESS,57.25
57.5,53,5989,1,5417,CPU_STRESS,57.5,749854,3925644,1275,4616328,CPU_STRESS,57.5
57.75,53,5989,1,5417,CPU_STRESS,57.75,773651,3943592,1275,4636624,CPU_STRESS,57.75
58.0,53,5989,1,5417,CPU_STRESS,58.0,772301,3889095,1275,4624901,CPU_STRESS,58.0
58.25,53,5989,1,5417,CPU_STRESS,58.25,755395,3883160,1275,4624901,CPU_STRESS,58.25
58.5,53,5989,1,5417,CPU_STRESS,58.5,755781,3470307,1275,4323375,CPU_STRESS,58.5
58.75,53,5989,1,5417,CPU_STRESS,58.75,751881,3397953,1275,4239442,CPU_STRESS,58.75
59.0,53,5989,1,5417,CPU_STRESS,59.0,749416,3367322,1275,4200347,CPU_STRESS,59.0
59.25,53,5989,1,5417,CPU_STRESS,59.25,718920,3360762,1275,4198727,CPU_STRESS,59.25
59.5,53,5989,1,5417,CPU_STRESS,59.5,710073,3347165,1275,3603361,CPU_STRESS,59.5
59.75,53,5989,1,5417,CPU_STRESS,59.75,540969,2609164,1275,3558582,CPU_STRESS,59.75
60.0,53,5989,1,5417,CPU_STRESS,60.0,540476,2630469,1275,3692010,CPU_STRESS,60.0
60.25,53,5989,1,5417,CPU_STRESS,60.25,563726,2816604,1275,3692349,CPU_STRESS,60.25
60.5,53,5989,1,5417,CPU_STRESS,60.5,564832,2816189,1275,3620644,CPU_STRESS,60.5
60.75,53,5989,1,5417,CPU_STRESS,60.75,580206,3106337,1275,3689587,CPU_STRESS,60.75
61.0,53,5989,1,5417,CPU_STRESS,61.0,575794,3223001,1275,3950997,CPU_STRESS,61.0
61.25,53,5989,1,5417,CPU_STRESS,61.25,581041,3453310,1275,3991416,CPU_STRESS,61.25
61.5,53,5989,1,5417,CPU_STRESS,61.5,579025,3484951,1238,5303663,CPU_STRESS,61.5
61.75,53,5989,1,5417,CPU_STRESS,61.75,519913,4652519,1238,5550722,CPU_STRESS,61.75
62.0,53,5989,1,5417,CPU_STRESS,62.0,519945,4789404,2747,5339288,CPU_STRESS,62.0
62.25,53,5989,1,5417,CPU_STRESS,62.25,597892,4379932,2735,5298161,CPU_STRESS,62.25
62.5,53,5989,1,5417,CPU_STRESS,62.5,609903,4344035,2735,4325501,CPU_STRESS,62.5
62.75,53,5989,1,5417,CPU_STRESS,62.75,774341,3626922,2735,4176184,CPU_STRESS,62.75
63.0,53,5989,1,5417,CPU_STRESS,63.0,772851,3563905,2735,4096584,CPU_STRESS,63.0
