minutes,apigateway_api_gateway,blocklatency_disk sda,customersservice_customers_service,iowait_cpu 0,iowait_cpu 1,iowait_cpu 2,iowait_cpu 3,iowait_cpu 4,iowait_cpu 5,iowait_cpu 6,iowait_cpu 7,irq_cpu 0,irq_cpu 1,irq_cpu 2,irq_cpu 3,irq_cpu 4,irq_cpu 5,irq_cpu 6,irq_cpu 7,memavailable_mem_available,memcache_mem_cache,memutil_mem_util,readbytes_openeuler-home,readbytes_openeuler-root,readbytes_openeuler-swap,readbytes_sda,srtt_SRTT_cumulative,system_cpu 0,system_cpu 1,system_cpu 2,system_cpu 3,system_cpu 4,system_cpu 5,system_cpu 6,system_cpu 7,user_cpu 0,user_cpu 1,user_cpu 2,user_cpu 3,user_cpu 4,user_cpu 5,user_cpu 6,user_cpu 7,utilization_cpu 0,utilization_cpu 1,utilization_cpu 2,utilization_cpu 3,utilization_cpu 4,utilization_cpu 5,utilization_cpu 6,utilization_cpu 7,vetsservice_vets_service,visitsservice_visits_service,writebytes_openeuler-home,writebytes_openeuler-root,writebytes_openeuler-swap,writebytes_sda,source,service,Failure
2.5,0.0,13.0,6.0,9.0,3.0,17.0,11.0,26.0,8.0,10.0,10.0,180.0,205.0,200.0,180.0,180.0,200.0,160.0,165.0,17451111.0,3402440.0,29.0,48.0,3252224.0,28.0,3252224.0,3183.0,1260.0,1380.0,855.0,860.0,1020.0,1108.0,1111.0,845.0,13020.0,8560.0,9900.0,8775.0,9120.0,13910.0,13590.0,9075.0,24.9,16.4,18.6,16.6,26.7,26.1,25.5,26.8,0.0,0.0,0.0,174080.0,1883.0,176128.0,NET_LOSS,customers,0
2.8,0.0,13.0,6.0,9.0,1.0,18.0,10.0,26.0,8.0,10.0,10.0,180.0,310.0,200.0,180.0,180.0,290.0,160.0,165.0,17383547.0,3403129.0,30.0,48.0,3252224.0,28.0,3252224.0,2690.0,1260.0,1380.0,855.0,860.0,1020.0,1139.0,1188.0,845.0,13020.0,8560.0,9900.0,8775.0,9120.0,13910.0,13590.0,9075.0,24.9,16.4,18.6,16.6,26.7,26.1,25.5,26.8,0.0,0.0,0.0,174080.0,1883.0,176128.0,NET_LOSS,customers,0
3.0,0.0,13.0,0.0,8.0,4.0,15.0,10.0,22.0,8.0,8.0,9.0,290.0,310.0,310.0,280.0,290.0,290.0,260.0,270.0,17209028.0,3402939.0,30.6,48.0,3252224.0,28.0,3252224.0,2690.0,1216.0,1380.0,855.0,860.0,1020.0,1156.0,1213.0,845.0,13020.0,8560.0,9900.0,8775.0,9120.0,13910.0,13590.0,9075.0,24.9,16.4,18.6,16.6,26.7,26.1,25.5,26.8,0.0,0.0,0.0,174080.0,1883.0,176128.0,NET_LOSS,customers,0
3.2,0.0,13.0,0.0,6.0,5.0,14.0,11.0,20.0,8.0,8.0,8.0,280.0,290.0,290.0,270.0,260.0,280.0,270.0,250.0,17144369.0,3403601.0,30.7,48.0,0.0,28.0,3252224.0,2629.2,1290.0,1230.0,1160.0,1230.0,1120.0,1097.0,1035.0,1090.0,11000.0,11780.0,13450.0,11930.0,12050.0,11300.0,11580.0,12780.0,21.6,22.6,25.4,22.8,22.8,22.0,22.2,23.9,0.0,0.0,0.0,174080.0,1883.0,176128.0,NET_LOSS,customers,0
3.5,0.0,13.0,0.0,0.0,9.0,3.0,18.0,10.0,1.0,8.0,0.0,280.0,296.0,290.0,270.0,260.0,280.0,270.0,250.0,17021370.0,3404427.0,31.0,48.0,0.0,28.0,0.0,2637.3,1290.0,1230.0,1160.0,1230.0,1120.0,1097.0,1035.0,1090.0,11000.0,11780.0,13450.0,11930.0,12050.0,11300.0,11580.0,12780.0,21.6,22.6,25.4,22.8,22.8,22.0,22.2,23.9,0.0,0.0,0.0,174080.0,1883.0,176128.0,NET_LOSS,customers,0
3.8,0.0,13.0,0.0,0.0,9.0,1.0,18.0,10.0,1.0,8.0,0.0,274.0,291.0,288.0,274.0,266.0,280.0,269.0,251.0,16975832.0,3404688.0,31.8,48.0,0.0,28.0,0.0,2639.7,1290.0,1230.0,1160.0,1230.0,1120.0,1097.0,1035.0,1090.0,11000.0,11780.0,13450.0,11930.0,12050.0,11300.0,11580.0,12780.0,21.6,22.6,25.4,22.8,22.8,22.0,22.2,23.9,0.0,0.0,0.0,174080.0,1883.0,176128.0,NET_LOSS,customers,0
4.0,0.0,13.0,0.0,2.0,8.0,5.0,13.0,8.0,3.0,8.0,1.0,273.0,295.0,287.0,282.0,272.0,280.0,275.0,252.0,16856063.0,3406223.0,31.8,48.0,0.0,28.0,0.0,2627.2,1290.0,1226.0,1206.0,1190.0,1219.0,1097.0,1035.0,1139.0,10392.0,11511.0,11821.0,11579.0,11860.0,11075.0,10856.0,11780.0,20.8,22.0,23.1,22.2,22.1,20.8,20.8,23.1,0.0,0.0,0.0,174080.0,1883.0,176128.0,NET_LOSS,customers,0
4.2,0.0,13.0,0.0,5.0,8.0,8.0,11.0,8.0,4.0,8.0,1.0,273.0,296.0,288.0,282.0,272.0,280.0,277.0,253.0,16822843.0,3406512.0,31.9,48.0,0.0,28.0,0.0,2639.8,1240.0,1224.0,1052.0,1190.0,1219.0,1230.0,1080.0,1015.0,10392.0,11511.0,11836.0,11579.0,11860.0,11094.0,10824.0,11780.0,20.8,22.0,23.1,22.3,22.1,20.8,20.8,23.1,0.0,0.0,0.0,0.0,1883.0,0.0,NET_LOSS,customers,0
4.5,0.0,13.0,0.0,9.0,8.0,17.0,2.0,1.0,18.0,1.0,3.0,255.0,296.0,290.0,277.0,271.0,280.0,277.0,253.0,16859011.0,3406102.0,32.0,48.0,297.0,28.0,13457.0,2618.5,1240.0,1227.0,1052.0,1145.0,1282.0,1230.0,1080.0,1015.0,10301.0,11491.0,11390.0,11449.0,8682.0,10929.0,10768.0,11431.0,20.3,21.9,22.5,21.8,21.9,20.7,20.8,22.2,0.0,0.0,0.0,0.0,1883.0,0.0,NET_LOSS,customers,0
4.8,0.0,13.0,0.0,10.0,8.0,18.0,1.0,1.0,18.0,1.0,1.0,253.0,296.0,290.0,278.0,274.0,280.0,277.0,254.0,16828024.0,3406074.0,32.2,48.0,297.0,28.0,13457.0,2695.6,1240.0,1236.0,1052.0,1128.0,1301.0,1230.0,1080.0,1015.0,10259.0,11512.0,11074.0,11372.0,8682.0,11002.0,10871.0,11009.0,20.6,22.3,21.9,21.1,21.9,21.0,20.7,21.7,0.0,0.0,0.0,0.0,1883.0,0.0,NET_LOSS,customers,0
5.0,0.0,13.0,0.0,8.0,8.0,15.0,3.0,3.0,13.0,2.0,2.0,255.0,296.0,293.0,281.0,286.0,281.0,277.0,254.0,16681803.0,3405835.0,32.2,48.0,297.0,28.0,13457.0,2706.0,1200.0,1242.0,1280.0,1124.0,1306.0,1272.0,1320.0,1220.0,10336.0,11541.0,10945.0,11271.0,8682.0,11098.0,11089.0,10883.0,20.9,22.5,21.3,21.0,22.0,21.3,20.8,21.7,0.0,0.0,0.0,0.0,1883.0,0.0,NET_LOSS,customers,0
5.2,0.0,13.0,0.0,8.0,7.0,14.0,4.0,3.0,13.0,2.0,3.0,257.0,296.0,298.0,281.0,288.0,282.0,277.0,254.0,16594540.0,3405742.0,32.3,48.0,297.0,28.0,13457.0,2701.1,1199.0,1246.0,1350.0,1129.0,1306.0,1272.0,1190.0,1200.0,10509.0,11662.0,11041.0,11275.0,11220.0,11144.0,11258.0,10922.0,21.0,22.6,21.4,21.1,22.0,21.6,21.6,21.7,0.0,0.0,0.0,0.0,1883.0,0.0,NET_LOSS,customers,0
5.5,0.0,13.0,0.0,8.0,0.0,10.0,9.0,8.0,10.0,2.0,9.0,273.0,299.0,318.0,275.0,307.0,288.0,279.0,254.0,16537450.0,3405829.0,32.8,48.0,297.0,28.0,13457.0,2659.6,1194.0,1319.0,1350.0,1171.0,1360.0,1289.0,1190.0,1200.0,11000.0,11859.0,11833.0,11485.0,11220.0,11733.0,11851.0,11254.0,21.4,22.8,23.3,21.6,22.2,22.8,22.3,22.3,0.0,0.0,0.0,0.0,1883.0,0.0,NET_LOSS,customers,0
5.8,0.0,13.0,0.0,8.0,0.0,10.0,9.0,9.0,10.0,2.0,9.0,278.0,301.0,323.0,276.0,310.0,290.0,281.0,255.0,16486507.0,3406272.0,33.9,48.0,297.0,28.0,13457.0,2560.0,1209.0,1334.0,1361.0,1184.0,1378.0,1307.0,1212.0,1273.0,11000.0,11938.0,12252.0,11624.0,11427.0,11980.0,11928.0,11635.0,21.6,23.0,23.9,22.6,22.3,23.2,22.4,22.5,0.0,0.0,0.0,0.0,1883.0,0.0,NET_LOSS,customers,0
6.0,0.0,13.0,45.0,7.0,1.0,9.0,8.0,8.0,8.0,2.0,11.0,277.0,309.0,335.0,285.0,317.0,299.0,281.0,258.0,16079707.0,3406755.0,34.8,48.0,297.0,28.0,13457.0,2355.5,1234.0,1367.0,1385.0,1220.0,1385.0,1327.0,1191.0,1274.0,11000.0,12406.0,12262.0,11761.0,11635.0,11948.0,12696.0,11776.0,22.2,23.4,23.8,22.9,23.1,23.7,23.2,22.5,0.0,6.0,0.0,62.0,1883.0,0.0,NET_LOSS,customers,0
6.2,0.0,13.0,45.0,5.0,1.0,9.0,8.0,8.0,8.0,2.0,11.0,282.0,310.0,340.0,290.0,319.0,301.0,284.0,265.0,15947510.0,3407167.0,35.2,48.0,297.0,28.0,13457.0,2278.9,1245.0,1370.0,1387.0,1246.0,1386.0,1330.0,1191.0,1277.0,13490.0,13663.0,12409.0,11877.0,14670.0,12036.0,12838.0,11936.0,22.7,25.5,24.0,23.1,24.0,23.8,24.8,22.7,0.0,6.0,0.0,62.0,1883.0,0.0,NET_LOSS,customers,0
6.5,0.0,13.0,45.0,0.0,1.0,9.0,8.0,1.0,8.0,8.0,18.0,299.0,323.0,361.0,323.0,328.0,309.0,302.0,309.0,15950571.0,3407902.0,35.1,48.0,297.0,28.0,13457.0,2311.9,1379.0,1430.0,1472.0,1472.0,1398.0,1406.0,1338.0,1424.0,13490.0,14635.0,13095.0,13034.0,14670.0,12762.0,13788.0,12725.0,25.6,25.5,25.5,24.9,26.8,25.1,26.2,24.5,0.0,6.0,0.0,62.0,1883.0,0.0,NET_LOSS,customers,0
6.8,0.0,13.0,45.0,0.0,1.0,9.0,8.0,1.0,8.0,9.0,19.0,306.0,330.0,362.0,329.0,329.0,311.0,307.0,317.0,15952907.0,3408278.0,35.1,48.0,297.0,28.0,13457.0,2308.3,1406.0,1434.0,1474.0,1498.0,1404.0,1438.0,1413.0,1489.0,13490.0,14846.0,13185.0,13503.0,14670.0,13405.0,13953.0,13266.0,26.0,25.5,25.7,25.9,27.7,25.7,26.4,26.0,0.0,6.0,0.0,62.0,1883.0,0.0,NET_LOSS,customers,0
7.0,0.0,13.0,45.0,3.0,1.0,9.0,8.0,2.0,8.0,8.0,15.0,302.0,330.0,360.0,336.0,334.0,325.0,302.0,316.0,15971492.0,3408733.0,35.1,48.0,297.0,28.0,13457.0,2346.6,1427.0,1437.0,1458.0,1481.0,1413.0,1453.0,1432.0,1495.0,13604.0,15050.0,13073.0,14145.0,14689.0,13632.0,14114.0,13730.0,26.1,28.3,25.5,26.4,27.7,26.5,26.5,26.2,0.0,1.0,0.0,62.0,1883.0,0.0,NET_LOSS,customers,0
7.2,0.0,13.0,45.0,5.0,1.0,9.0,8.0,3.0,8.0,8.0,14.0,302.0,330.0,360.0,336.0,334.0,326.0,303.0,316.0,15957146.0,3409981.0,35.1,48.0,297.0,28.0,13457.0,2377.8,1427.0,1434.0,1457.0,1481.0,1413.0,1454.0,1432.0,1493.0,13995.0,15265.0,13093.0,14310.0,14761.0,13672.0,14116.0,13882.0,26.1,28.9,25.6,26.6,27.6,26.6,26.7,26.4,0.0,1.0,0.0,62.0,1883.0,0.0,NET_LOSS,customers,0
7.5,0.0,13.0,45.0,9.0,1.0,9.0,0.0,9.0,8.0,1.0,10.0,314.0,327.0,339.0,343.0,323.0,344.0,301.0,316.0,15921424.0,3410387.0,35.2,48.0,297.0,28.0,13457.0,2390.9,1431.0,1356.0,1399.0,1451.0,1413.0,1458.0,1367.0,1396.0,14446.0,15272.0,14229.0,15364.0,14661.0,14775.0,14339.0,15085.0,27.5,28.9,27.3,28.9,27.6,28.5,27.1,28.9,0.0,1.0,0.0,62.0,1883.0,0.0,NET_LOSS,customers,0
7.8,0.0,13.0,45.0,10.0,1.0,9.0,1.0,9.0,8.0,1.0,10.0,316.0,327.0,337.0,345.0,322.0,346.0,299.0,316.0,15906078.0,3410993.0,35.6,48.0,297.0,28.0,13457.0,2419.4,1429.0,1347.0,1387.0,1433.0,1413.0,1464.0,1349.0,1390.0,14650.0,15325.0,14638.0,15653.0,14741.0,15524.0,14557.0,15840.0,28.2,29.0,28.0,29.6,27.8,29.4,27.3,29.9,0.0,1.0,0.0,62.0,1883.0,0.0,NET_LOSS,customers,0
8.0,0.0,13.0,0.0,7.0,1.0,8.0,4.0,8.0,8.0,2.0,8.0,315.0,332.0,348.0,342.0,321.0,348.0,298.0,316.0,15825424.0,3412400.0,36.0,48.0,297.0,28.0,13457.0,2500.8,1430.0,1360.0,1381.0,1427.0,1412.0,1465.0,1349.0,1404.0,14970.0,15456.0,14784.0,15779.0,14904.0,16126.0,14933.0,16544.0,28.4,29.2,28.2,30.0,27.9,30.6,28.1,30.1,0.0,0.0,0.0,62.0,1883.0,0.0,NET_LOSS,customers,0
8.2,0.0,13.0,0.0,6.0,2.0,7.0,6.0,8.0,8.0,2.0,7.0,316.0,332.0,350.0,343.0,322.0,347.0,298.0,316.0,15754171.0,3413210.0,36.1,48.0,297.0,28.0,13457.0,2529.7,1430.0,1362.0,1382.0,1424.0,1413.0,1466.0,1349.0,1405.0,15947.0,15496.0,14836.0,15799.0,15005.0,16137.0,14995.0,16596.0,28.5,29.2,28.2,30.0,28.5,30.9,30.1,30.2,0.0,0.0,0.0,62.0,1883.0,0.0,NET_LOSS,customers,0
8.5,0.0,13.0,0.0,0.0,9.0,1.0,18.0,8.0,1.0,8.0,0.0,326.0,336.0,355.0,335.0,327.0,340.0,303.0,316.0,15713526.0,3413475.0,36.2,48.0,297.0,28.0,13457.0,2569.5,1439.0,1361.0,1408.0,1342.0,1357.0,1474.0,1345.0,1437.0,16694.0,15535.0,15158.0,17010.0,17130.0,17500.0,16805.0,17106.0,31.1,29.1,28.8,31.3,32.4,32.8,31.2,32.5,0.0,0.0,0.0,62.0,1883.0,0.0,NET_LOSS,customers,0
8.8,0.0,13.0,0.0,0.0,9.0,0.0,18.0,8.0,0.0,9.0,0.0,331.0,341.0,358.0,334.0,329.0,339.0,304.0,315.0,15667764.0,3413807.0,36.5,48.0,297.0,28.0,13457.0,2573.9,1447.0,1363.0,1429.0,1324.0,1353.0,1483.0,1340.0,1447.0,17055.0,15518.0,15339.0,17500.0,18131.0,17949.0,17224.0,17608.0,32.1,29.3,29.4,32.5,33.9,33.2,31.8,33.3,0.0,0.0,0.0,62.0,1883.0,0.0,NET_LOSS,customers,0
9.0,0.0,13.0,90.0,3.0,7.0,1.0,13.0,8.0,3.0,8.0,3.0,330.0,346.0,368.0,336.0,338.0,338.0,304.0,315.0,15574814.0,3414193.0,36.8,48.0,297.0,28.0,13457.0,2599.6,1455.0,1388.0,1434.0,1331.0,1379.0,1483.0,1339.0,1467.0,17644.0,16127.0,15815.0,17949.0,18851.0,18093.0,17394.0,17716.0,33.1,29.9,30.0,33.6,35.7,33.6,32.1,33.5,0.0,0.0,0.0,62.0,1883.0,0.0,NET_LOSS,customers,0
9.2,0.0,13.0,90.0,5.0,7.0,1.0,11.0,8.0,3.0,8.0,3.0,331.0,348.0,370.0,336.0,347.0,338.0,304.0,314.0,15541619.0,3414809.0,36.9,0.0,297.0,28.0,13457.0,2600.8,1459.0,1396.0,1434.0,1331.0,1394.0,1482.0,1339.0,1467.0,17887.0,17447.0,16060.0,17960.0,17295.0,18104.0,17397.0,17718.0,33.3,30.7,30.1,33.6,35.7,33.5,32.4,33.5,0.0,0.0,0.0,62.0,1883.0,0.0,NET_LOSS,customers,0
9.5,0.0,13.0,90.0,9.0,0.0,1.0,1.0,1.0,8.0,1.0,9.0,342.0,365.0,399.0,340.0,378.0,333.0,325.0,309.0,15563281.0,3416796.0,36.8,0.0,297.0,28.0,13457.0,2638.8,1490.0,1470.0,1435.0,1333.0,1592.0,1498.0,1398.0,1406.0,18066.0,18107.0,17308.0,18392.0,17295.0,17562.0,17509.0,17611.0,34.1,33.8,32.6,34.3,37.0,32.5,32.6,33.2,0.0,0.0,0.0,62.0,1883.0,0.0,NET_LOSS,customers,0
9.8,0.0,13.0,90.0,10.0,0.0,1.0,1.0,1.0,8.0,1.0,9.0,350.0,372.0,406.0,342.0,386.0,332.0,330.0,310.0,15561694.0,3417739.0,36.8,0.0,297.0,28.0,13457.0,2678.7,1494.0,1485.0,1435.0,1337.0,1619.0,1499.0,1436.0,1412.0,18349.0,18555.0,18110.0,18527.0,19920.0,17494.0,17722.0,17761.0,34.4,34.9,34.5,34.6,37.8,32.5,32.7,33.3,0.0,0.0,0.0,62.0,1883.0,0.0,NET_LOSS,customers,0
10.0,0.0,13.0,151.0,9.0,2.0,1.0,3.0,2.0,9.0,2.0,9.0,350.0,378.0,399.0,346.0,384.0,337.0,337.0,316.0,15568855.0,3421154.0,36.8,0.0,297.0,28.0,13457.0,2700.2,1475.0,1488.0,1440.0,1346.0,1567.0,1487.0,1443.0,1441.0,18440.0,18832.0,18838.0,19016.0,19920.0,17625.0,17950.0,18023.0,36.3,35.8,35.3,35.6,38.6,33.7,33.3,34.0,0.0,0.0,0.0,62.0,1883.0,0.0,NET_LOSS,customers,0
10.2,0.0,13.0,151.0,9.0,2.0,1.0,3.0,2.0,9.0,2.0,9.0,350.0,378.0,399.0,347.0,384.0,339.0,338.0,319.0,15568507.0,3422245.0,36.8,0.0,310.0,28.0,13457.0,2696.8,1472.0,1490.0,1446.0,1349.0,1564.0,1487.0,1443.0,1450.0,18115.0,19479.0,18893.0,19043.0,18715.0,17692.0,18106.0,18194.0,36.9,35.8,35.4,35.6,38.6,34.9,34.7,34.2,0.0,0.0,0.0,62.0,1883.0,0.0,NET_LOSS,customers,0
10.5,0.0,13.0,151.0,9.0,9.0,1.0,3.0,2.0,16.0,2.0,9.0,348.0,380.0,396.0,354.0,374.0,365.0,363.0,375.0,15557397.0,3421111.0,36.8,0.0,310.0,28.0,13457.0,2681.2,1457.0,1491.0,1524.0,1460.0,1455.0,1489.0,1444.0,1566.0,18702.0,19909.0,20555.0,19585.0,18715.0,19667.0,19180.0,19037.0,39.1,36.7,37.8,35.8,41.0,36.8,35.7,35.8,0.0,0.0,0.0,62.0,1883.0,0.0,NET_LOSS,customers,0
10.8,0.0,13.0,151.0,9.0,9.0,1.0,3.0,2.0,16.0,2.0,9.0,347.0,380.0,392.0,356.0,373.0,371.0,369.0,380.0,15550946.0,3420848.0,36.9,36864.0,297.0,28.0,13457.0,2705.0,1459.0,1486.0,1524.0,1482.0,1438.0,1489.0,1444.0,1607.0,18702.0,19993.0,20872.0,19750.0,18715.0,20063.0,19628.0,19367.0,39.7,37.1,38.5,36.5,41.4,37.5,35.9,36.9,0.0,0.0,36864.0,62.0,1883.0,2211.0,NET_LOSS,customers,0
11.0,0.0,13.0,73.0,9.0,7.0,1.0,3.0,2.0,13.0,4.0,9.0,348.0,382.0,386.0,354.0,371.0,372.0,376.0,384.0,15513743.0,3417976.0,36.9,36864.0,297.0,28.0,13457.0,2701.7,1455.0,1477.0,1510.0,1483.0,1452.0,1480.0,1443.0,1594.0,21650.0,20066.0,21066.0,20137.0,22760.0,20287.0,20040.0,20001.0,39.9,37.5,39.3,36.9,40.9,37.5,36.8,37.2,0.0,0.0,36864.0,62.0,1883.0,5160.0,NET_LOSS,customers,0
11.2,0.0,13.0,73.0,9.0,7.0,2.0,5.0,2.0,12.0,6.0,9.0,350.0,382.0,383.0,354.0,371.0,373.0,376.0,384.0,15497591.0,3416882.0,37.0,36864.0,296.0,28.0,13457.0,2692.2,1455.0,1476.0,1506.0,1482.0,1452.0,1473.0,1443.0,1592.0,22030.0,20336.0,21097.0,20181.0,21450.0,20261.0,20154.0,20061.0,39.9,37.5,39.4,37.0,40.9,37.5,37.9,37.2,0.0,0.0,36864.0,62.0,1883.0,42762.0,NET_LOSS,customers,0
11.5,0.0,13.0,73.0,9.0,0.0,8.0,18.0,2.0,2.0,28.0,9.0,388.0,377.0,370.0,333.0,371.0,378.0,376.0,345.0,15471488.0,3417145.0,37.2,36864.0,296.0,28.0,38807.0,2719.1,1455.0,1455.0,1415.0,1435.0,1487.0,1404.0,1464.0,1469.0,22030.0,20564.0,21939.0,20672.0,21450.0,20412.0,21352.0,21336.0,40.3,37.8,40.3,37.7,40.0,37.8,39.2,38.6,0.0,0.0,36864.0,62.0,1883.0,57712.0,NET_LOSS,customers,0
11.8,0.0,13.0,73.0,8.0,0.0,8.0,18.0,2.0,2.0,27.0,9.0,399.0,376.0,365.0,334.0,371.0,381.0,376.0,338.0,15462844.0,3417182.0,37.5,0.0,296.0,28.0,58332.0,2790.3,1455.0,1452.0,1396.0,1421.0,1488.0,1406.0,1487.0,1456.0,22016.0,20647.0,22419.0,20929.0,21758.0,20770.0,21563.0,21354.0,40.3,38.1,40.7,38.4,39.4,38.1,39.8,39.1,0.0,0.0,0.0,62.0,1883.0,56878.0,NET_LOSS,customers,0
