minutes,apigateway_api_gateway,apigateway_source,apigateway_Minutes,customersservice_customers_service,customersservice_source,customersservice_Minutes,srtt_Minutes,srtt_source,srtt_SRTT_cumulative,vetsservice_vets_service,vetsservice_source,vetsservice_Minutes,visitsservice_visits_service,visitsservice_source,visitsservice_Minutes
29.0,0.0,IO,29.0,0.0,IO,29.0,29.0,IO,3379.3415195830567,0.0,IO,57.0,0.0,IO,71.0
29.25,0.0,IO,29.25,0.0,IO,29.25,29.25,IO,3356.499812251023,0.0,IO,57.25,0.0,IO,71.25
29.5,0.0,IO,29.5,0.0,IO,29.5,29.5,IO,3370.079763544641,0.0,IO,57.5,0.0,IO,71.5
29.75,0.0,IO,29.75,0.0,IO,29.75,29.75,IO,3455.149690248603,0.0,IO,57.75,0.0,IO,71.75
30.0,0.0,IO,30.0,19.0,IO,30.0,30.0,IO,3413.1878331620737,0.0,IO,58.0,0.0,IO,72.0
30.25,0.0,IO,30.25,19.0,IO,30.25,30.25,IO,3440.6790080939613,0.0,IO,58.25,0.0,IO,72.25
30.5,0.0,IO,30.5,19.0,IO,30.5,30.5,IO,3366.592278792189,0.0,IO,58.5,0.0,IO,72.5
30.75,0.0,IO,30.75,19.0,IO,30.75,30.75,IO,3228.2663643551605,0.0,IO,58.75,0.0,IO,72.75
31.0,0.0,IO,31.0,44.0,IO,31.0,31.0,IO,3261.6730923266628,0.0,IO,59.0,0.0,IO,73.0
31.25,0.0,IO,31.25,44.0,IO,31.25,31.25,IO,3277.952962631545,0.0,IO,59.25,0.0,IO,73.25
31.5,0.0,IO,31.5,44.0,IO,31.5,31.5,IO,3330.3630676030675,0.0,IO,59.5,0.0,IO,73.5
31.75,0.0,IO,31.75,44.0,IO,31.75,31.75,IO,3585.086305364727,0.0,IO,59.75,0.0,IO,73.75
32.0,0.0,IO,32.0,39.0,IO,32.0,32.0,IO,3571.741035832643,0.0,IO,60.0,0.0,IO,74.0
32.25,0.0,IO,32.25,39.0,IO,32.25,32.25,IO,3575.5205425842887,0.0,IO,66.25,0.0,IO,74.25
32.5,0.0,IO,32.5,39.0,IO,32.5,32.5,IO,3691.153384547813,0.0,IO,66.5,0.0,IO,74.5
32.75,0.0,IO,32.75,39.0,IO,32.75,32.75,IO,4272.697181626426,0.0,IO,66.75,0.0,IO,74.75
33.0,0.0,IO,33.0,166.0,IO,33.0,33.0,IO,4254.757953657652,0.0,IO,67.0,6.0,IO,75.0
33.25,0.0,IO,33.25,166.0,IO,33.25,33.25,IO,4209.497453675074,0.0,IO,67.25,6.0,IO,75.25
33.5,0.0,IO,33.5,166.0,IO,33.5,33.5,IO,3806.6205537670103,0.0,IO,67.5,6.0,IO,75.5
33.75,0.0,IO,33.75,166.0,IO,33.75,33.75,IO,3182.16137929377,0.0,IO,67.75,6.0,IO,75.75
34.0,0.0,IO,34.0,18.0,IO,34.0,34.0,IO,3206.714311409274,0.0,IO,68.0,2.0,IO,76.0
34.25,0.0,IO,34.25,18.0,IO,34.25,34.25,IO,3097.327875305376,0.0,IO,68.25,2.0,IO,76.25
34.5,0.0,IO,34.5,18.0,IO,34.5,34.5,IO,3420.4716805154685,0.0,IO,68.5,2.0,IO,76.5
34.75,0.0,IO,34.75,18.0,IO,34.75,34.75,IO,3684.58515816622,0.0,IO,68.75,2.0,IO,76.75
35.0,0.0,IO,35.0,0.0,IO,35.0,35.0,IO,3637.8515482689927,0.0,IO,69.0,0.0,IO,77.0
35.25,0.0,IO,35.25,0.0,IO,35.25,35.25,IO,3633.447515570388,0.0,IO,69.25,0.0,IO,77.25
35.5,0.0,IO,35.5,0.0,IO,35.5,35.5,IO,3237.9685848652834,0.0,IO,69.5,0.0,IO,77.5
35.75,0.0,IO,35.75,0.0,IO,35.75,35.75,IO,3074.660505505153,0.0,IO,69.75,0.0,IO,77.75
36.0,0.0,IO,36.0,153.0,IO,36.0,36.0,IO,3066.4957193355845,0.0,IO,70.0,0.0,IO,78.0
36.25,0.0,IO,36.25,153.0,IO,36.25,36.25,IO,3078.539226547763,0.0,IO,70.25,0.0,IO,78.25
36.5,0.0,IO,36.5,153.0,IO,36.5,36.5,IO,3134.009799636067,0.0,IO,70.5,0.0,IO,78.5
36.75,0.0,IO,36.75,153.0,IO,36.75,36.75,IO,3127.6576578987656,0.0,IO,70.75,0.0,IO,78.75
37.0,0.0,IO,37.0,661.0,IO,37.0,37.0,IO,3042.399424274231,0.0,IO,71.0,0.0,IO,79.0
37.25,0.0,IO,37.25,661.0,IO,37.25,37.25,IO,3055.0295083905985,0.0,IO,73.25,0.0,IO,79.25
37.5,0.0,IO,37.5,661.0,IO,37.5,37.5,IO,3005.0301332199883,0.0,IO,73.5,0.0,IO,79.5
37.75,0.0,IO,37.75,661.0,IO,37.75,37.75,IO,2783.2873674912767,0.0,IO,73.75,0.0,IO,79.75
38.0,0.0,IO,38.0,366.0,IO,38.0,38.0,IO,2757.1774472119814,0.0,IO,74.0,0.0,IO,80.0
38.25,0.0,IO,38.25,366.0,IO,38.25,38.25,IO,2795.294769041592,1.0,IO,74.25,0.0,IO,80.25
38.5,0.0,IO,38.5,366.0,IO,38.5,38.5,IO,3005.614382979751,1.0,IO,74.5,0.0,IO,80.5
38.75,0.0,IO,38.75,366.0,IO,38.75,38.75,IO,3251.783254430878,1.0,IO,74.75,0.0,IO,80.75
39.0,0.0,IO,39.0,188.0,IO,39.0,39.0,IO,3271.372102020337,1.0,IO,75.0,0.0,IO,81.0
39.25,0.0,IO,39.25,188.0,IO,39.25,39.25,IO,3309.007845326164,7.0,IO,75.25,0.0,IO,81.25
39.5,0.0,IO,39.5,188.0,IO,39.5,39.5,IO,3408.272672910609,7.0,IO,75.5,0.0,IO,81.5
39.75,0.0,IO,39.75,188.0,IO,39.75,39.75,IO,4139.707098483605,7.0,IO,75.75,0.0,IO,81.75
40.0,0.0,IO,40.0,233.0,IO,40.0,40.0,IO,4105.272139915616,7.0,IO,76.0,0.0,IO,82.0
40.25,0.0,IO,40.25,233.0,IO,40.25,40.25,IO,4075.201573637175,0.0,IO,76.25,0.0,IO,82.25
40.5,0.0,IO,40.5,233.0,IO,40.5,40.5,IO,3865.489358791301,0.0,IO,76.5,0.0,IO,82.5
40.75,0.0,IO,40.75,233.0,IO,40.75,40.75,IO,3565.346256917752,0.0,IO,76.75,0.0,IO,82.75
41.0,0.0,IO,41.0,47.0,IO,41.0,41.0,IO,3577.0499386813467,0.0,IO,77.0,0.0,IO,83.0
41.25,0.0,IO,41.25,47.0,IO,41.25,41.25,IO,3586.1965277984423,0.0,IO,77.25,0.0,IO,83.25
41.5,0.0,IO,41.5,47.0,IO,41.5,41.5,IO,3608.394973840897,0.0,IO,77.5,0.0,IO,83.5
41.75,0.0,IO,41.75,47.0,IO,41.75,41.75,IO,3344.512040009782,0.0,IO,77.75,0.0,IO,83.75
42.0,0.0,IO,42.0,442.0,IO,42.0,42.0,IO,3350.5888997422426,0.0,IO,78.0,0.0,IO,84.0
42.25,0.0,IO,42.25,442.0,IO,42.25,42.25,IO,3306.514791608173,0.0,IO,78.25,0.0,IO,84.25
42.5,0.0,IO,42.5,442.0,IO,42.5,42.5,IO,3428.3202734267998,0.0,IO,78.5,0.0,IO,84.5
42.75,0.0,IO,42.75,442.0,IO,42.75,42.75,IO,3741.304868242673,0.0,IO,78.75,0.0,IO,84.75
43.0,0.0,IO,43.0,0.0,IO,43.0,43.0,IO,3762.33085805826,0.0,IO,79.0,0.0,IO,85.0
43.25,0.0,IO,43.25,0.0,IO,43.25,43.25,IO,3767.0976400420464,0.0,IO,79.25,0.0,IO,85.25
43.5,0.0,IO,43.5,0.0,IO,43.5,43.5,IO,3565.7890125867825,0.0,IO,79.5,0.0,IO,85.5
43.75,0.0,IO,43.75,0.0,IO,43.75,43.75,IO,3174.252385562749,0.0,IO,79.75,0.0,IO,85.75
44.0,0.0,IO,44.0,0.0,IO,44.0,44.0,IO,3166.131828733506,0.0,IO,80.0,0.0,IO,100.0
44.25,0.0,IO,44.25,0.0,IO,44.25,44.25,IO,3177.4902794618374,0.0,IO,80.25,0.0,IO,100.25
44.5,0.0,IO,44.5,0.0,IO,44.5,44.5,IO,3152.8056627985525,0.0,IO,80.5,0.0,IO,100.5
44.75,0.0,IO,44.75,0.0,IO,44.75,44.75,IO,3106.4614509209227,0.0,IO,80.75,0.0,IO,100.75
45.0,0.0,IO,45.0,116.0,IO,45.0,45.0,IO,3121.6387557082035,0.0,IO,81.0,0.0,IO,101.0
45.25,0.0,IO,45.25,116.0,IO,45.25,45.25,IO,3136.4090247515783,0.0,IO,89.25,0.0,IO,101.25
45.5,0.0,IO,45.5,116.0,IO,45.5,45.5,IO,3248.842667137438,0.0,IO,89.5,0.0,IO,101.5
45.75,0.0,IO,45.75,116.0,IO,45.75,45.75,IO,3601.212456590409,0.0,IO,89.75,0.0,IO,101.75
46.0,0.0,IO,46.0,98.0,IO,46.0,46.0,IO,3634.510969387095,0.0,IO,90.0,0.0,IO,102.0
46.25,0.0,IO,46.25,98.0,IO,46.25,46.25,IO,3614.9011473201663,0.0,IO,90.25,0.0,IO,102.25
46.5,0.0,IO,46.5,98.0,IO,46.5,46.5,IO,3222.865201352123,0.0,IO,90.5,0.0,IO,102.5
46.75,0.0,IO,46.75,98.0,IO,46.75,46.75,IO,2814.7641064019804,0.0,IO,90.75,0.0,IO,102.75
47.0,1.0,IO,47.0,0.0,IO,47.0,47.0,IO,2812.323850366828,0.0,IO,91.0,,,
47.25,1.0,IO,47.25,0.0,IO,47.25,47.25,IO,2833.576173957897,0.0,IO,91.25,,,
47.5,1.0,IO,47.5,0.0,IO,47.5,47.5,IO,2902.935811659188,0.0,IO,91.5,,,
47.75,1.0,IO,47.75,0.0,IO,47.75,47.75,IO,2797.3334709063124,0.0,IO,91.75,,,
48.0,0.0,IO,48.0,183.0,IO,48.0,48.0,IO,2702.953375468157,0.0,IO,92.0,,,
48.25,0.0,IO,48.25,183.0,IO,48.25,48.25,IO,2707.2315180845244,0.0,IO,92.25,,,
48.5,0.0,IO,48.5,183.0,IO,48.5,48.5,IO,2733.685937694,0.0,IO,92.5,,,
48.75,0.0,IO,48.75,183.0,IO,48.75,48.75,IO,2771.626001470075,0.0,IO,92.75,,,
49.0,0.0,IO,49.0,0.0,IO,49.0,49.0,IO,2781.5329573543427,0.0,IO,93.0,,,
49.25,0.0,IO,49.25,0.0,IO,49.25,49.25,IO,2755.51633801654,0.0,IO,93.25,,,
49.5,0.0,IO,49.5,0.0,IO,49.5,49.5,IO,2759.627284230856,0.0,IO,93.5,,,
49.75,0.0,IO,49.75,0.0,IO,49.75,49.75,IO,2700.2626082134475,0.0,IO,93.75,,,
50.0,0.0,IO,50.0,101.0,IO,50.0,50.0,IO,2684.227268405629,0.0,IO,94.0,,,
50.25,0.0,IO,50.25,101.0,IO,50.25,50.25,IO,2696.6627006780404,1.0,IO,104.25,,,
50.5,0.0,IO,50.5,101.0,IO,50.5,50.5,IO,2756.0945068960664,1.0,IO,104.5,,,
50.75,0.0,IO,50.75,101.0,IO,50.75,50.75,IO,2812.428741441283,1.0,IO,104.75,,,
51.0,0.0,IO,51.0,122.0,IO,51.0,51.0,IO,2815.3020330515265,1.0,IO,105.0,,,
51.25,0.0,IO,51.25,122.0,IO,51.25,51.25,IO,2846.3878575196136,7.0,IO,105.25,,,
51.5,0.0,IO,51.5,122.0,IO,51.5,51.5,IO,2945.542006225562,7.0,IO,105.5,,,
51.75,0.0,IO,51.75,122.0,IO,51.75,51.75,IO,3217.7228073529486,7.0,IO,105.75,,,
52.0,0.0,IO,52.0,760.0,IO,52.0,52.0,IO,3206.1635262274813,7.0,IO,106.0,,,
52.25,0.0,IO,52.25,760.0,IO,52.25,52.25,IO,3205.655579762153,,,,,,
52.5,0.0,IO,52.5,760.0,IO,52.5,52.5,IO,3130.355914261073,,,,,,
52.75,0.0,IO,52.75,760.0,IO,52.75,52.75,IO,3115.023892694288,,,,,,
53.0,0.0,IO,53.0,92.0,IO,53.0,53.0,IO,3185.1591913953853,,,,,,
53.25,0.0,IO,53.25,92.0,IO,53.25,53.25,IO,3184.0071971123484,,,,,,
53.5,0.0,IO,53.5,92.0,IO,53.5,53.5,IO,3220.2056253222645,,,,,,
53.75,0.0,IO,53.75,92.0,IO,53.75,53.75,IO,3209.960330734351,,,,,,
54.0,0.0,IO,54.0,71.0,IO,54.0,54.0,IO,3177.4459918437324,,,,,,
54.25,0.0,IO,54.25,71.0,IO,54.25,54.25,IO,3174.482446685989,,,,,,
54.5,0.0,IO,54.5,71.0,IO,54.5,54.5,IO,3176.9620434263725,,,,,,
54.75,0.0,IO,54.75,71.0,IO,54.75,54.75,IO,3204.2298605539136,,,,,,
55.0,0.0,IO,55.0,104.0,IO,55.0,55.0,IO,3181.9747664406577,,,,,,
55.25,0.0,IO,55.25,104.0,IO,55.25,55.25,IO,3213.632186905937,,,,,,
55.5,0.0,IO,55.5,104.0,IO,55.5,55.5,IO,3217.3151207144665,,,,,,
